Orgao Responsável,Título,Link,Tipo,Data de Publicação,Resultado
PPGGB/IBTEC/UFU,Edital de abertura das inscrições e do processo de seleção ano 2024 para ingresso ao Programa de Pós- graduação em Genética e Bioquímica,http://www.editais.ufu.br/node/6216,Mest./Dout./Especializ.,22/11/2023,Não Publ.
DIPROC,Edital para seleção de estagiário para o Centro de Memória da Cultura Negra Graça do Aché,http://www.editais.ufu.br/node/6210,Estágio UFU,24/10/2023,Não Publ.
PET Mais Saúde,"EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET SAÚDE, CULTURA E SABERES (PET MAIS SAÚDE)",http://www.editais.ufu.br/node/6208,Programa PET,17/10/2023,Não Publ.
PET MATEMÁTICA PONTAL,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET MATEMÁTICA PONTAL,http://www.editais.ufu.br/node/6206,Programa PET,16/10/2023,Não Publ.
PPCSA/FAMED/UFU,Edital de abertura das inscrições e do processo de seleção de alunos TURMA 2024/1 para ingresso no Programa de Pós-Graduação em Ciências da Saúde (PPCSA),http://www.editais.ufu.br/node/6205,Mest./Dout./Especializ.,03/10/2023,Não Publ.
ESEBA,Processo Seletivo de Estagiário(a) para atuação no Laboratório de Informática - ESEBA,http://www.editais.ufu.br/node/6201,Estágio UFU,28/09/2023,Não Publ.
Comissão de Concursos e PSS da ESEBA,PROCESSO SELETIVO DE ESTAGIÁRIO(A) - ESEBA,http://www.editais.ufu.br/node/6200,Estágio UFU,25/09/2023,Não Publ.
"Laboratório de Diagnóstico e Análises Moleculares da Universidade Federal de Uberlândia, campus Patos de Minas",EDITAL LDAM/UFU-PM Nº 01/2023,http://www.editais.ufu.br/node/6197,Estágio UFU,20/09/2023,Não Publ.
Coordenação do Curso de Engenharia Biomédica,PROCESSO CLASSIFICATÓRIO PARA ESTÁGIO OBRIGATÓRIO EM ENGENHARIA BIOMÉDICA NO HC-UFU,http://www.editais.ufu.br/node/6192,Estágio UFU,15/09/2023,Não Publ.
DIRCO,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A),http://www.editais.ufu.br/node/6190,Estágio UFU,13/09/2023,Não Publ.
PET Ciências Contábeis,EDITAL DE SELEÇÃO DE ESTUDANTES PARA INGRESSO NO PET CIÊNCIAS CONTÁBEIS,http://www.editais.ufu.br/node/6186,Programa PET,29/08/2023,Não Publ.
Coordenação do Curso de Engenharia Biomédica,PROCESSO CLASSIFICATÓRIO PARA ESTÁGIO OBRIGATÓRIO EM ENGENHARIA BIOMÉDICA NO HC-UFU,http://www.editais.ufu.br/node/6184,Estágio UFU,28/08/2023,Não Publ.
DIRPO,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIOS(AS) DO CURSO DE ARQUITETURA E URBANISMO,http://www.editais.ufu.br/node/6185,Estágio UFU,28/08/2023,Não Publ.
CLAA,Edital de seleção de alunos para ingresso no PET Estatística,http://www.editais.ufu.br/node/6176,Programa PET,14/08/2023,Não Publ.
PET Sistemas de Informação - Monte Carmelo,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET SISTEMAS DE INFORMAÇÃO - CAMPUS MONTE CARMELO,http://www.editais.ufu.br/node/6173,Programa PET,07/08/2023,Não Publ.
PET Engenharia Eletrônica e de Telecomunicações,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET ENGENHARIA ELETRÔNICA E DE TELECOMUNICAÇÕES - Agosto 2023,http://www.editais.ufu.br/node/6170,Programa PET,31/07/2023,Não Publ.
DEPAH/ICBIM,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) PARA O LABORATÓRIO DE ANATOMIA HUMANA,http://www.editais.ufu.br/node/6166,Estágio UFU,18/07/2023,Não Publ.
INBIO,Edital DIRINBIO Nº 7/2023 - SELEÇÃO PÚBLICA DE CANDIDATOS AO CURSO GRATUITO DE PÓS-GRADUAÇÃO ESPECIALIZAÇÃO EM ENSINO DE CIÊNCIAS PARA OS ANOS FINAIS DO ENSINO FUNDAMENTAL - CIÊNCIA É 10,http://www.editais.ufu.br/node/6154,Mest./Dout./Especializ.,20/06/2023,Não Publ.
DIRCO,EDITAL DIRCO Nº 2/2023 - PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A),http://www.editais.ufu.br/node/6134,Estágio UFU,22/05/2023,Não Publ.
DIRCO,EDITAL DIRCO Nº 1/2023 - PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A),http://www.editais.ufu.br/node/6135,Estágio UFU,22/05/2023,Não Publ.
PET Economia,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET ECONOMIA,http://www.editais.ufu.br/node/6109,Programa PET,03/05/2023,Não Publ.
ESEBA,EDITAL CPSSESEBA Nº 2/2023 - Para inscrição e seleção de candidatos para Estágio no Projeto Rádio ESEBA,http://www.editais.ufu.br/node/6092,Estágio UFU,12/04/2023,Não Publ.
DIEPAFRO/UFU,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) NEGRO(A) PARA ATUAÇÃO NA DIEPAFRO/UFU,http://www.editais.ufu.br/node/6073,Estágio UFU,22/03/2023,Não Publ.
Coordenação de Estágio Supervisionado do Curso de Engenharia Biomédica,PROCESSO CLASSIFICATÓRIO PARA ESTÁGIO OBRIGATÓRIO EM ENGENHARIA BIOMÉDICA NO HC-UFU,http://www.editais.ufu.br/node/6069,Estágio UFU,21/03/2023,Não Publ.
ESAJUP,EDITAL ESAJUP Nº 1/2023 - PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIA/O,http://www.editais.ufu.br/node/6027,Estágio UFU,07/03/2023,Não Publ.
DIRIERI,"PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) PARA ESTUDANTES DOS CURSOS DE GRADUAÇÃO EM CIÊNCIAS DA COMPUTAÇÃO, SISTEMAS DE INFORMAÇÃO E GESTÃO DE INFORMAÇÃO - IERI/CEPES/UFU",http://www.editais.ufu.br/node/6028,Estágio UFU,07/03/2023,Não Publ.
Coordenação de Estágio Supervisionado e Trabalho de Curso da FAGEN,Processo Seletivo de estagiários(as) - DIRFAGEN,http://www.editais.ufu.br/node/6025,Estágio UFU,02/03/2023,Não Publ.
PET de Sistemas de Informação - Monte Carmelo,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET SISTEMAS DE INFORMAÇÃO (MONTE CARMELO),http://www.editais.ufu.br/node/6023,Programa PET,01/03/2023,Não Publ.
PET de Engenharia Eletrônica e Telecomunicações,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET ENGENHARIA ELETRÔNICA E DE TELECOMUNICAÇÕES - Março 2023,http://www.editais.ufu.br/node/6022,Programa PET,27/02/2023,Não Publ.
PET Física,EDITAL DE SELEÇÃO DE ALUNOS PARA INGRESSO NO PET FÍSICA,http://www.editais.ufu.br/node/6015,Programa PET,07/02/2023,Não Publ.
PET Bio Pontal,EDITAL DE SELEÇÃO DE ALUNOS(AS) PARA INGRESSO NO PET BIOLOGIA PONTAL,http://www.editais.ufu.br/node/6014,Programa PET,06/02/2023,Não Publ.
EDUFU,EDITAL EDUFU Nº 1/2023,http://www.editais.ufu.br/node/6006,Mest./Dout./Especializ.,19/01/2023,Não Publ.
DIRPE,EDITAL DIRPE Nº 01/2023 - Iniciação Científica do Ensino Médio - BIC-Jr FAPEMIG/UFU,http://www.editais.ufu.br/node/5995,Inic. Científica,04/01/2023,Não Publ.
ESEBA,Processo Seletivo de Estagiário(a) - ESEBA,http://www.editais.ufu.br/node/5984,Estágio UFU,22/12/2022,Não Publ.
FAEPU,EDITAL 003.2022 - TECNOLOGIA DA INFORMAÇÃO - FAEPU,http://www.editais.ufu.br/node/5973,Estágio UFU,07/12/2022,Não Publ.
FAEPU,EDITAL 004.2022 - Controladoria - FAEPU,http://www.editais.ufu.br/node/5974,Estágio UFU,07/12/2022,Não Publ.
RELAM,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) - RELAM,http://www.editais.ufu.br/node/5972,Estágio UFU,06/12/2022,Não Publ.
DIRPE,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A),http://www.editais.ufu.br/node/5970,Estágio UFU,28/11/2022,Não Publ.
DEPAE,EDITAL DE SELEÇÃO DE BOLSISTAS COM CONHECIMENTO EM LIBRAS - 1º SEMESTRE LETIVO DE 2022,http://www.editais.ufu.br/node/5951,Estágio UFU,03/11/2022,Não Publ.
DIRPO,PROCESSO SELETIVO PARA CONTRATAÇÃO DE ESTAGIÁRIO(A) DO CURSO DE ENGENHARIA ELÉTRICA,http://www.editais.ufu.br/node/5939,Estágio UFU,25/10/2022,Não Publ.
