HORÁRIO,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
07h10-08h00,,,,IGUFU32106- FUNDAMENTOS SOCIOECONÔMICOSE ÉTICA PROF.PEDROEDUARDO SALA1B305ouLAPLAN,
08h00-08h50,,IGUFU32205- MINERALOGIAI PROF.FELIX SALA1A209,IGUFU39104 QUIMICAGERAL PROF.RODRIGO SALA1B303,IGUFU32106- FUNDAMENTOS SOCIOECONÔMICOSE ÉTICA PROF.PEDROEDUARDO SALA1B305ouLAPLAN,IGUFU34102- GEOLOGIAGERALI GEOMIN PROF.ªMARÍLIA
08h50-09h40,,IGUFU32205- MINERALOGIAI PROF.FELIX SALA1A209,IGUFU39104 QUIMICAGERAL PROF.RODRIGO SALA1A303,,IGUFU34102- GEOLOGIAGERALI GEOMIN PROF.ªMARÍLIA
09h50-10h40,,IGUFU32205- MINERALOGIAI PROF.FELIX SALA1A209,IGUFU39104 QUIMICAGERAL PROF.RODRIGO LaboratóriodeQuímica,,
10h40-11h30,,,IGUFU39104 QUIMICAGERAL PROF.RODRIGO LaboratóriodeQuímica,FAMAT32103 CÁLCULOI PROF.EDUARDO SALA1A209,FAMAT32103 CÁLCULOI PROF.EDUARDO SALA1A212
11h30-12h20,,,,FAMAT32103 CÁLCULOI PROF.EDUARDO SALA1A209,FAMAT32103 CÁLCULOI PROF.EDUARDO SALA1A212
13h10-14h00,IGUFU32105- INTRODUÇÃOÀS TÉCNICASDECAMPO PROF.BRENO GEOTECHLAB,,IGUFU32205- MINERALOGIAI PROF.FELIX SALA1A209,IGUFU34101 ACE-DIFUSÃOCONHEC. GEOCIENTÍFICOI PROF.EMERSON SALA1A212,
14h00-14h50,IGUFU32105- INTRODUÇÃOÀS TÉCNICASDECAMPO PROF.BRENO GEOTECHLAB,IGUFU34102- GEOLOGIAGERALI PROF.ªMARÍLIA SALA1B303,IGUFU32205- MINERALOGIAI PROF.FELIX SALA1A209,IGUFU34101 ACE-DIFUSÃOCONHEC. GEOCIENTÍFICOI PROF.EMERSON SALA1A212,
14h50-15h40,IGUFU32105- INTRODUÇÃOÀS TÉCNICASDECAMPO PROF.BRENO GEOTECHLAB,IGUFU34102- GEOLOGIAGERALI PROF.ªMARÍLIA SALA1B303,IGUFU32205- MINERALOGIAI PROF.FELIX SALA1A209,IGUFU34101 ACE-DIFUSÃOCONHEC. GEOCIENTÍFICOI PROF.EMERSON SALA1A212,
16h00-16h50,IGUFU32105- INTRODUÇÃOÀS TÉCNICASDECAMPO PROF.BRENO GEOTECHLAB,,,IGUFU34101 ACE-DIFUSÃOCONHEC. GEOCIENTÍFICOI PROF.EMERSON SALA1A212,
16h50-17h40,,,,,
07h10-08h00,,,,,
08h00-08h50,IGUFU32204-GEOLOGIA GERALII PROFs.ALANEMARÍLIA SALA1B303,INFIS32202-FÍSICAI PROF.WILLIAN SALA1B303,,,
