HORÁRIO,SEGUNDA-FEIRA,TERÇA-FEIRA,QUARTA-FEIRA,QUINTA-FEIRA,SEXTA-FEIRA
['07:00-08:00'],,,,"['IGUFU32106', '1B303 ou LAPLAN']",
['08:00-08:00'],,,,"['IGUFU32106', '1B303 ou LAPLAN']",
['08:00-09:00'],,,,,
['09:00-10:00'],,,,,
['10:00-11:00'],,,,,
['11:00-12:00'],,,,,
['07:00-08:00'],,,,,"['IGUFU34203', 'LABPETRO']"
['08:00-08:00'],"['IGUFU32204', '1B303']","['INFIS32202', '1B303']","['FAMAT32204', '1B303']","['FAMAT32204', '1A209']","['IGUFU34203', 'LABPETRO']"
['08:00-09:00'],"['IGUFU32204', '1B303']","['INFIS32202', '1B303']","['FAMAT32204', '1B303']","['FAMAT32204', '1A209']","['IGUFU34203', 'LABPETRO']"
['09:00-10:00'],,"['INFIS32202', '1B303']",,,
['10:00-11:00'],"['IQUFU32201', 'Laboratório de Química']","['INFIS32202', '1B303']","['IGUFU34101', '1A209']","['IQUFU32201', '1A214']","['IGUFU32204', 'LABCARTO']"
['11:00-12:00'],"['IQUFU32201', 'Laboratório de Química']",,"['IGUFU34101', '1A209']","['IQUFU32201', '1A214']","['IGUFU32204', 'LABCARTO']"
['13:00-14:00'],,,,,
['14:00-14:00'],"['IGUFU32404', '1A214 OU LAPE']",,"['IGUFU34101', '1A209']",,"['IGUFU34203', 'LABPETRO']"
['14:00-15:00'],"['IGUFU32404', '1A214 OU LAPE']",,"['IGUFU34101', '1A209']",,"['IGUFU34203', 'LABPETRO']"
['16:00-16:00'],"['IGUFU32404', '1A214 OU LAPE']",,"['IGUFU34101', 'SALA1A209']",,"['IGUFU34203', 'LABPETRO']"
['16:00-17:00'],"['IGUFU32404', '1A214 OU LAPE']",,,,
['07:00-08:00'],"['IGUFU32307', 'GEOTECH LAB']",,,,
['08:00-08:00'],"['IGUFU32307', 'GEOTECH LAB']",,,,
['08:00-09:00'],"['IGUFUT32307', 'GEOTECH LAB']",,,,
['09:00-10:00'],"['IGUFU32307', 'GEOTECH LAB']",,"['INFIS32301', '1B303']","['INFIS32301', '1A209']",
['10:00-11:00'],"['IGUFUT32307', 'GEOTECH LAB']",,"['INFIS32301', '1B303']","['INFIS32301', '1A209']",
['11:00-12:00'],"['IGUFUT32307', 'GEOTECH LAB']",,,,
['13:00-14:00'],,"['FECIV39001 TOPOGRAFIA E', '1B305/VILA DIGITAL']",,,
['14:00-14:00'],,"['FECIV39001 TOPOGRAFIA E', '1B305/VILA DIGITAL']","['IGUFU32306', 'LAPE']",,
['14:00-15:00'],,"['FECIV39001 TOPOGRAFIA E', '1B305/VILA DIGITAL']","['IGUFU32306', 'LAPE']",,
['16:00-16:00'],,"['FECIV39001', '1B305/VILA DIGITAL']","['IGUFU32306', 'LAPE']",,
['16:00-17:00'],,"['FECIV39001', '1B305/VILA DIGITAL']","['IGUFU32306', 'LAPE']",,
['17:00-18:00'],,,,,
['07:00-08:00'],,,,,
['08:00-08:00'],"['IGUFU34403', 'GEOTECHLAB']","['IGUFU34405', '1A209']","['IGUFU34402', 'LAPE']","['IQUFU34406', 'LAB. QUÍMICA']",
